Grading,TeachingStyle,Flexibility,Availability,Overall
3.22,3.2,2.2,4.56,3.276
2.1,3.3,3.2,3.55,3.31
1.2,3.4,4.3,2.34,3.148
3.4,3.67,2.1,2.67,3.012
4.4,4.56,2.7,3.4,3.432
3.2,2.33,4.44,3.67,2.968
3.2,4.78,4.56,4.56,4.1
4.4,4.66,3.55,3.4,4.082
4.5,4.21,2.34,4.3,3.71
4.4,4.5,2.67,4.2,3.794
4.5,4.3,3.56,4.1,3.952
4.3,4.09,2.1,3.2,3.178
4.09,4.77,3.4,3.33,3.798
4.77,4.2,3.4,4.5,4.234
4.3,4.66,2.11,3.4,3.734
4.2,3.8,4.67,2.3,3.814
4.1,2.9,4.88,2.1,3.436
3.2,2.33,3.45,4.77,3.416
3.3,4.3,2.1,4.66,3.712
3.4,4.4,1.2,4.8,3.692
3.67,4.5,3.4,3.07,3.688
4.56,3.22,4.4,3.55,3.726
2.33,2.1,3.2,3.89,2.77
4.78,1.2,3.2,2.33,3.162
4.66,3.4,4.4,1.99,3.708
4.21,2.1,4.5,2.3,3.576
3.55,2.3,4.09,4.09,3.738
3.89,4.5,4.77,4.77,4.546
2.33,3.4,4.66,4.66,3.71
1.99,2.3,4.8,4.8,3.538
2.3,2.1,3.07,3.5,3.006
